"COORD_REF_SYS_CODE","COORD_REF_SYS_NAME","GCS_COORD_REF_SYS_NAME","DATUM_CODE","DATUM_NAME","GREENWICH_DATUM","UOM_CODE","ELLIPSOID_CODE","PRIME_MERIDIAN_CODE","SHOW_CRS","DEPRECATED","COORD_SYS_CODE","COORD_OP_METHOD_CODE","DX","DY","DZ","RX","RY","RZ","DS"
4635,ST87 Ouvea,GCS_ST87_Ouvea,6635,ST87 Ouvea,6635,9122,7022,8901,1,1,6422,9606,-122.383,-188.696,103.344,3.5107,-4.9668,-5.7047,4.4798
4636,Petrels 1972,GCS_Petrels_1972,6636,Petrels 1972,6636,9122,7022,8901,1,0,6422,9603,365,194,166,,,,
4637,Perroud 1950,GCS_Perroud_1950,6637,Pointe Geologie Perroud 1950,6637,9122,7022,8901,1,0,6422,9603,325,154,172,,,,
4638,Saint Pierre et Miquelon 1950,GCS_Saint_Pierre_et_Miquelon_1950,6638,Saint Pierre et Miquelon 1950,6638,9122,7008,8901,1,0,6422,9603,30,430,368,,,,
4639,MOP78,GCS_MOP78,6639,MOP78,6639,9122,7022,8901,1,0,6422,,,,,,,,
4640,RRAF 1991,GCS_RRAF_1991,6640,Reseau de Reference des Antilles Francaises 1991,6640,9122,7030,8901,1,0,6422,9603,0,0,0,,,,
4641,IGN53 Mare,GCS_IGN53_Mare,6641,IGN53 Mare,6641,9122,7022,8901,1,0,6422,,,,,,,,
4642,ST84 Ile des Pins,GCS_ST84_Ile_des_Pins,6642,ST84 Ile des Pins,6642,9122,7022,8901,1,0,6422,,,,,,,,
4643,ST71 Belep,GCS_ST71_Belep,6643,ST71 Belep,6643,9122,7022,8901,1,0,6422,9606,-480.26,-438.32,-643.429,16.3119,20.1721,-4.0349,-111.7002
4644,NEA74 Noumea,GCS_NEA74_Noumea,6644,NEA74 Noumea,6644,9122,7022,8901,1,0,6422,,,,,,,,
4645,RGNC 1991,GCS_RGNC_1991,6645,Reseau Geodesique Nouvelle Caledonie 1991,6645,9122,7022,8901,1,1,6422,9603,0,0,0,,,,
4646,Grand Comoros,GCS_Grand_Comoros,6646,Grand Comoros,6646,9122,7022,8901,1,0,6422,,,,,,,,
4657,Reykjavik 1900,GCS_Reykjavik_1900,6657,Reykjavik 1900,6657,9122,7051,8901,1,0,6422,9603,-28,199,5,,,,
4658,Hjorsey 1955,GCS_Hjorsey_1955,6658,Hjorsey 1955,6658,9122,7022,8901,1,0,6422,9603,-73,46,-86,,,,
4659,ISN93,GCS_ISN93,6659,Islands Network 1993,6659,9122,7019,8901,1,0,6422,9603,0,0,0,,,,
4660,Helle 1954,GCS_Helle_1954,6660,Helle 1954,6660,9122,7022,8901,1,0,6422,9606,982.6087,552.753,-540.873,32.39344,-153.25684,-96.2266,16.805
4661,LKS92,GCS_LKS92,6661,Latvia 1992,6661,9122,7019,8901,1,0,6422,9603,0,0,0,,,,
4662,IGN72 Grande Terre,GCS_IGN72_Grande_Terre,6634,IGN72 Grande Terre,6634,9122,7022,8901,1,0,6422,,,,,,,,
4663,Porto Santo 1995,GCS_Porto_Santo_1995,6663,Porto Santo 1995,6663,9122,7022,8901,1,0,6422,,,,,,,,
4664,Azores Oriental 1995,GCS_Azores_Oriental_1995,6664,Azores Oriental Islands 1995,6664,9122,7022,8901,1,0,6422,,,,,,,,
4665,Azores Central 1995,GCS_Azores_Central_1995,6665,Azores Central Islands 1995,6665,9122,7022,8901,1,0,6422,,,,,,,,
4666,Lisbon 1890,GCS_Lisbon_1890,6666,Lisbon 1890,6666,9122,7004,8901,1,0,6422,,,,,,,,
4667,IKBD-92,GCS_IKBD-92,6667,Iraq-Kuwait Boundary Datum 1992,6667,9122,7030,8901,1,0,6422,9603,0,0,0,,,,
4668,ED79,GCS_ED79,6668,European Datum 1979,6668,9122,7022,8901,1,0,6422,9603,-86,-98,-119,,,,
4669,LKS94,GCS_LKS94,6126,"Lithuania 1994 (ETRS89)",6126,9122,7019,8901,1,0,6422,9603,0,0,0,,,,
4670,IGM95,GCS_IGM95,6670,Istituto Geografico Militaire 1995,6670,9122,7030,8901,1,0,6422,9603,0,0,0,,,,
4671,Voirol 1879,GCS_Voirol_1879,6671,Voirol 1879,6671,9122,7011,8901,1,0,6422,,,,,,,,
4672,Chatham Islands 1971,GCS_Chatham_Islands_1971,6672,Chatham Islands Datum 1971,6672,9122,7022,8901,1,0,6422,9603,175,-38,113,,,,
4673,Chatham Islands 1979,GCS_Chatham_Islands_1979,6673,Chatham Islands Datum 1979,6673,9122,7022,8901,1,0,6422,9607,174.05,-25.49,112.57,0,0,-0.554,0.2263
4674,SIRGAS 2000,GCS_SIRGAS_2000,6674,Sistema de Referencia Geocentrico para America del Sur 2000,6674,9122,7019,8901,1,0,6422,9603,0,0,0,,,,
4675,Guam 1963,GCS_Guam_1963,6675,Guam 1963,6675,9122,7008,8901,1,0,6422,9603,-100,-248,259,,,,
4676,Vientiane 1982,GCS_Vientiane_1982,6676,Vientiane 1982,6676,9122,7024,8901,1,0,6422,,,,,,,,
4677,Lao 1993,GCS_Lao_1993,6677,Lao 1993,6677,9122,7024,8901,1,0,6422,,,,,,,,
4678,Lao 1997,GCS_Lao_1997,6678,Lao National Datum 1997,6678,9122,7024,8901,1,0,6422,9603,44.585,-131.212,-39.544,,,,
